,구군,읍면동,예측 유동인구,총 인구,예측 구매력,구의 동별 평균 인구,구의 동별 평균 구매력,영업이익/매출액(%),경쟁업체 수,예측 유동인구 평균,경쟁업체 평균,영업이익/매출액(%) 평균
127,사하구,괴정4동,15.0297,11.805,7.385,22.394,13.7352,5.946004928482447,2.9,12.818481249999998,3.7375,6.6766254523133
128,사하구,당리동,11.1157,28.443,17.7934,22.218,19.429,9.071799282876995,5.4,12.818481249999998,3.7375,6.6766254523133
129,사하구,하단1동,9.6659,22.196,13.8854,22.218,19.429,7.2679435477983585,4.7,12.818481249999998,3.7375,6.6766254523133
130,사하구,하단2동,17.6356,25.992,16.2602,22.218,19.429,6.815766111856433,8.1,12.818481249999998,3.7375,6.6766254523133
131,사하구,신평1동,9.6831,18.152,11.3556,22.218,19.429,2.580871171658016,3.7,12.818481249999998,3.7375,6.6766254523133
132,사하구,신평2동,11.089,16.284,10.187,22.218,19.429,5.120539143218177,2.0,12.818481249999998,3.7375,6.6766254523133
133,사하구,장림1동,16.5685,12.26,7.6696,22.218,19.429,8.363356270912506,3.1,12.818481249999998,3.7375,6.6766254523133
134,사하구,장림2동,7.8126,28.182,17.6302,22.218,19.429,4.460115678451023,3.8,12.818481249999998,3.7375,6.6766254523133
135,사하구,다대1동,1.4865,40.964,25.6264,22.218,19.429,4.6563694063243535,5.3,12.818481249999998,3.7375,6.6766254523133
136,사하구,다대2동,18.407,28.866,18.058,22.218,19.429,6.233750154760431,3.1,12.818481249999998,3.7375,6.6766254523133
137,사하구,구평동,17.5297,11.849,7.4126,22.218,19.429,4.484915907826728,1.7,12.818481249999998,3.7375,6.6766254523133
138,사하구,감천1동,16.1992,20.229,12.655,22.218,19.429,3.002618712321397,3.4,12.818481249999998,3.7375,6.6766254523133
139,사하구,감천2동,16.492,6.896,4.314,22.218,19.429,12.657545325874505,1.3,12.818481249999998,3.7375,6.6766254523133
140,금정구,서1동,16.1415,6.614,4.0788,22.218,19.429,13.546310054482415,0.8,11.874699999999999,2.50625,7.141962269073485
141,금정구,서2동,16.5719,10.409,6.4192,22.218,19.429,9.396539308273152,2.2,11.874699999999999,2.50625,7.141962269073485
142,금정구,서3동,17.414,11.705,7.2186,22.218,19.429,6.0788297440065024,3.1,11.874699999999999,2.50625,7.141962269073485
143,금정구,부곡1동,12.2159,8.997,5.5484,22.218,19.429,4.7221023871153305,1.0,11.874699999999999,2.50625,7.141962269073485
144,금정구,부곡2동,13.9011,17.098,10.5444,20.062,12.551,4.749403791227954,1.8,11.874699999999999,2.50625,7.141962269073485
145,금정구,부곡3동,4.8881,17.63,10.8726,20.062,12.551,10.391692954784435,3.8,11.874699999999999,2.50625,7.141962269073485
146,금정구,부곡4동,19.4985,13.636,8.4094,20.062,12.551,6.351097975657037,1.4,11.874699999999999,2.50625,7.141962269073485
147,금정구,장전1동,11.2237,17.95,11.0698,20.062,12.551,7.501436099802692,3.4,11.874699999999999,2.50625,7.141962269073485
148,금정구,장전2동,9.4972,14.455,8.9144,20.062,12.551,5.829552082406557,4.9,11.874699999999999,2.50625,7.141962269073485
149,금정구,장전3동,11.4085,13.491,8.32,20.062,12.551,5.961824942168177,0.0,11.874699999999999,2.50625,7.141962269073485
150,금정구,선두구동,11.635,2.458,1.5158,20.062,12.551,6.664201867085682,0.7,11.874699999999999,2.50625,7.141962269073485
151,금정구,청룡노포동,9.9638,10.247,6.3194,20.062,12.551,5.527098310626499,1.5,11.874699999999999,2.50625,7.141962269073485
152,금정구,남산동,5.5555,30.579,18.8582,20.062,12.551,3.430520274899661,7.0,11.874699999999999,2.50625,7.141962269073485
153,금정구,구서1동,12.5063,19.466,12.0048,20.062,12.551,4.70018351050639,3.4,11.874699999999999,2.50625,7.141962269073485
154,금정구,구서2동,4.8679,34.441,21.24,20.062,12.551,7.533831549181984,4.5,11.874699999999999,2.50625,7.141962269073485
155,금정구,금성동,12.7063,1.122,0.692,20.062,12.551,11.886771452951288,0.6,11.874699999999999,2.50625,7.141962269073485
156,강서구,대저1동,23.2763,6.962,11.268,20.062,12.551,4.7138081738893,3.8,16.691416666666665,3.8499999999999996,4.020228419016609
157,강서구,대저2동,15.0142,7.493,12.1274,20.062,12.551,4.721171879292432,3.5,16.691416666666665,3.8499999999999996,4.020228419016609
158,강서구,강동동,21.3277,4.707,7.6182,20.062,12.551,4.831832589974472,1.7,16.691416666666665,3.8499999999999996,4.020228419016609
159,강서구,가락동,16.3892,2.568,4.1562,20.062,12.551,4.358203067212386,0.6,16.691416666666665,3.8499999999999996,4.020228419016609
160,강서구,녹산동,7.719,31.1,50.335,14.393,8.8766,5.307304591994829,11.8,16.691416666666665,3.8499999999999996,4.020228419016609
161,강서구,가덕도동,16.4221,3.567,5.7732,14.393,8.8766,0.18905021173623715,1.7,16.691416666666665,3.8499999999999996,4.020228419016609
162,연제구,거제1동,8.2791,30.567,16.9536,14.393,8.8766,4.668542385684686,3.9,10.291591666666667,3.316666666666667,6.953869271992473
163,연제구,거제2동,11.4801,12.743,7.0678,14.393,8.8766,5.368578730224551,1.8,10.291591666666667,3.316666666666667,6.953869271992473
